elec_id,country,year,presidential,date,legislative_type,elecrule,tier1_formula,tier2_formula,tier3_formula,tier4_formula,multi,seats,tier1_avemag,tier1_districts,tier2_districts,tier3_districts,tier4_districts,enep,enep1,enpp,enpp1,dd_democracy,bmr_democracy,fh_democracy,p5_democracy,vd_polyarchy,tier1_EffElecThrsh
L-ALB-1997-6-29,Albania,1997,0,"June 29, 1997",3.0,12.0,4.0,13.0,,,1.0,155.0,1.0,115.0,1.0,0.0,0.0,2.87,2.87,2.07,2.07,1,1.0,0.0,0.0,0,0.375
L-ALB-2001-6-24,Albania,2001,0,"June 24, 2001",3.0,11.0,4.0,13.0,,,1.0,140.0,1.0,100.0,1.0,0.0,0.0,3.09,3.129792891,2.6,2.6,1,1.0,0.0,0.0,0,0.375
L-ALB-2005-7-3,Albania,2005,0,"July 03, 2005",3.0,11.0,1.0,13.0,,,1.0,140.0,1.0,100.0,1.0,0.0,0.0,10.46,11.5060119011551,3.75,3.75035880589398,1,1.0,0.0,1.0,1,0.375
L-ALB-2009-6-28,Albania,2009,0,"June 28, 2009",2.0,9.0,25.0,,,,0.0,140.0,11.67,12.0,0.0,0.0,0.0,3.18,3.27698442968231,2.6,2.6,1,1.0,0.0,1.0,1,0.05919494869771113
L-ALB-2013-6-23,Albania,2013,0,"June 23, 2013",2.0,9.0,25.0,,,,0.0,140.0,11.67,12.0,0.0,0.0,0.0,3.51184,3.51184,2.796804,2.796804,1,1.0,0.0,1.0,1,0.05919494869771113
L-ALB-2017-6-25,Albania,2017,0,"June 25, 2017",2.0,9.0,25.0,,,,0.0,140.0,11.67,12.0,0.0,0.0,0.0,2.9440339152707,2.94903478091621,2.54677754677755,2.54677754677755,1,,0.0,1.0,1,0.05919494869771113
L-AND-1993-12-12,Andorra,1993,0,"December 12, 1993",3.0,12.0,9.0,13.0,,,1.0,28.0,2.0,7.0,1.0,0.0,0.0,4.82,4.82,4.96,6.14,1,0.0,1.0,0.0,0,0.25
L-AND-1997-2-16,Andorra,1997,0,"February 16, 1997",3.0,12.0,9.0,13.0,,,1.0,28.0,2.0,7.0,1.0,0.0,0.0,2.6,2.62,2.58,2.58,1,1.0,1.0,0.0,0,0.25
L-AND-2001-3-4,Andorra,2001,0,"March 04, 2001",3.0,12.0,9.0,13.0,,,1.0,28.0,2.0,7.0,1.0,0.0,0.0,3.28,3.28,2.7,2.7,1,1.0,1.0,0.0,0,0.25
L-AND-2005-4-24,Andorra,2005,0,"April 24, 2005",3.0,12.0,9.0,13.0,,,1.0,28.0,2.0,7.0,1.0,0.0,0.0,2.77,2.77,2.28,2.28,1,1.0,1.0,0.0,0,0.25
L-AND-2009-4-26,Andorra,2009,0,"April 26, 2009",3.0,12.0,9.0,13.0,,,1.0,28.0,2.0,7.0,1.0,0.0,0.0,2.94,2.94,2.4,2.4,1,1.0,1.0,0.0,0,0.25
L-AND-2011-4-3,Andorra,2011,0,"April 03, 2011",3.0,12.0,9.0,13.0,,,1.0,28.0,2.0,7.0,1.0,0.0,0.0,2.32,2.32,1.78,1.78,1,1.0,1.0,0.0,0,0.25
L-AND-2015-3-1,Andorra,2015,0,"March 01, 2015",3.0,12.0,9.0,13.0,,,1.0,28.0,2.0,7.0,1.0,0.0,0.0,3.539284,3.539284,2.596026,2.596026,1,1.0,1.0,0.0,0,0.25
L-AND-2019-4-7,Andorra,2019,0,"April 07, 2019",3.0,12.0,9.0,13.0,,,1.0,28.0,2.0,7.0,1.0,0.0,0.0,4.01704835321103,4.01704835321103,3.80582524271845,3.80582524271845,1,,1.0,,0,0.25
L-ARG-1946-2-24,Argentina,1946,0,"February 24, 1946",1.0,7.0,10.0,,,,0.0,158.0,10.53,15.0,0.0,0.0,0.0,5.19,5.75,3.69,3.74,1,0.0,,0.0,0,0.06504770164787511
L-ARG-1948-3-7,Argentina,1948,0,"March 07, 1948",1.0,7.0,10.0,,,,0.0,158.0,5.27,15.0,0.0,0.0,0.0,-99.0,-99.0,1.75,1.75,1,0.0,,0.0,0,0.11961722488038279
L-ARG-1951-11-11,Argentina,1951,0,"November 11, 1951",1.0,1.0,1.0,,,,0.0,149.0,1.07,139.0,0.0,0.0,0.0,1.97,1.97,1.21,1.21,1,0.0,,0.0,0,0.3623188405797101
L-ARG-1954-4-25,Argentina,1954,0,"April 25, 1954",1.0,1.0,1.0,,,,0.0,157.0,1.03,152.0,0.0,0.0,0.0,1.93,1.93,1.26,1.26,1,0.0,,0.0,0,0.36945812807881767
L-ARG-1958-2-23,Argentina,1958,0,"February 23, 1958",1.0,7.0,10.0,,,,0.0,187.0,8.13,23.0,0.0,0.0,0.0,2.83,2.885,1.72,1.72,1,1.0,,0.0,0,0.08214676889375684
L-ARG-1960-3-27,Argentina,1960,0,"March 27, 1960",1.0,7.0,10.0,,,,0.0,192.0,4.17,23.0,0.0,0.0,0.0,4.93,5.485,2.12,2.12,1,1.0,,0.0,0,0.1450676982591876
L-ARG-1962-3-18,Argentina,1962,0,"March 18, 1962",1.0,7.0,10.0,,,,0.0,192.0,4.17,23.0,0.0,0.0,0.0,5.49,7.05,-99.0,-99.0,1,0.0,,0.0,0,0.1450676982591876
L-ARG-1963-7-7,Argentina,1963,0,"July 07, 1963",2.0,9.0,25.0,,,,0.0,192.0,8.35,23.0,0.0,0.0,0.0,5.57,5.98,4.87,5.06,1,1.0,,1.0,0,0.08021390374331551
L-ARG-1973-3-11,Argentina,1973,0,"March 11, 1973",2.0,9.0,25.0,,,,0.0,243.0,10.13,24.0,0.0,0.0,0.0,3.19,3.19,2.9,2.94,1,1.0,1.0,1.0,0,0.0673854447439353
L-ARG-1983-10-30,Argentina,1983,0,"October 30, 1983",2.0,9.0,25.0,,,,0.0,254.0,10.58,24.0,0.0,0.0,0.0,2.63,2.63,2.19,2.19,1,1.0,0.0,1.0,0,0.06476683937823834
L-ARG-2001-10-14,Argentina,2001,0,"October 14, 2001",2.0,9.0,25.0,,,,0.0,257.0,5.29,24.0,0.0,0.0,0.0,4.66,4.86939408135568,2.84,2.84006106032508,1,1.0,0.0,1.0,1,0.1192368839427663
L-ARM-1995-7-5,Armenia,1995,0,"July 05, 1995",3.0,12.0,3.0,13.0,,,1.0,190.0,1.0,150.0,1.0,0.0,0.0,4.18,4.235,2.21,2.52,1,0.0,0.0,0.0,0,0.375
L-ARM-1999-5-30,Armenia,1999,0,"May 30, 1999",3.0,12.0,1.0,13.0,,,1.0,131.0,1.0,75.0,1.0,0.0,0.0,4.77,4.77,3.97,3.97,1,0.0,0.0,0.0,0,0.375
L-ARM-2003-5-23,Armenia,2003,0,"May 23, 2003",3.0,12.0,1.0,13.0,,,1.0,131.0,1.0,56.0,1.0,0.0,0.0,5.33,9.35196265814148,9.11,28.1132180928767,1,0.0,0.0,0.0,0,0.375
L-ARM-2007-5-12,Armenia,2007,0,"May 12, 2007",3.0,12.0,1.0,13.0,,,1.0,131.0,1.0,41.0,1.0,0.0,0.0,5.26,6.25581717114716,3.37,3.52441393711587,1,0.0,0.0,0.0,0,0.375
L-ARM-2012-5-6,Armenia,2012,0,"May 06, 2012",3.0,12.0,1.0,13.0,,,1.0,131.0,1.0,41.0,1.0,0.0,0.0,3.336536,3.336536,2.733949,2.733949,1,0.0,0.0,0.0,0,0.375
L-ARM-2017-4-2,Armenia,2017,0,"April 02, 2017",2.0,9.0,25.0,25.0,,,1.0,105.0,4.15,13.0,1.0,0.0,0.0,3.0262313735459,3.05419050207838,2.47474747474747,2.47474747474747,1,,0.0,0.0,0,0.14563106796116504
L-ARM-2018-12-9,Armenia,2018,0,"December 09, 2018",2.0,9.0,25.0,25.0,,,1.0,132.0,5.0,13.0,1.0,0.0,0.0,1.94439043359907,1.95951255165765,1.99268069533394,1.99268069533394,1,,0.0,1.0,0,0.125
L-BAR-1981-6-18,Barbados,1981,0,"June 18, 1981",1.0,1.0,1.0,,,,0.0,27.0,1.0,27.0,0.0,0.0,0.0,2.02,2.02,1.87,1.87,1,1.0,0.0,0.0,1,0.375
L-BEL-1946-2-17,Belgium,1946,0,"February 17, 1946",2.0,9.0,25.0,25.0,,,1.0,202.0,6.73333333333333,30.0,9.0,0.0,0.0,3.28,3.28,2.91,2.91,1,1.0,,1.0,0,0.0969827586206897
L-BEL-1981-11-8,Belgium,1981,0,"November 08, 1981",2.0,9.0,25.0,25.0,,,1.0,212.0,7.1,30.0,9.0,0.0,0.0,8.99,9.0,7.63,7.63,1,1.0,0.0,1.0,1,0.0925925925925926
L-BEN-1991-2-17,Benin,1991,0,"February 17, 1991",2.0,9.0,13.0,,,,0.0,64.0,10.67,6.0,0.0,0.0,0.0,9.62,9.62,8.76,8.76,1,1.0,1.0,1.0,0,0.06426735218508997
L-BEN-2019-4-28,Benin,2019,0,"April 28, 2019",2.0,9.0,13.0,,,,0.0,83.0,3.46,24.0,0.0,0.0,0.0,1.96971368241912,1.96971368241912,1.96547788873038,1.96547788873038,1,,0.0,,1,0.1681614349775785
L-BHM-1977-7-19,Bahamas,1977,0,"July 19, 1977",1.0,1.0,1.0,,,,0.0,38.0,1.0,38.0,0.0,0.0,0.0,2.52,2.52,1.53,1.53,1,1.0,1.0,0.0,0,0.375
L-BHM-1982-6-10,Bahamas,1982,0,"June 10, 1982",1.0,1.0,1.0,,,,0.0,43.0,1.0,43.0,0.0,0.0,0.0,2.03,2.03,1.62,1.62,1,1.0,1.0,0.0,0,0.375
L-BHM-1987-6-19,Bahamas,1987,0,"June 19, 1987",1.0,1.0,1.0,,,,0.0,49.0,1.0,49.0,0.0,0.0,0.0,2.11,2.11,1.96,1.97,1,1.0,1.0,0.0,0,0.375
L-BHM-1992-8-19,Bahamas,1992,0,"August 19, 1992",1.0,1.0,1.0,,,,0.0,49.0,1.0,49.0,0.0,0.0,0.0,1.99,1.99,1.79,1.79,1,1.0,1.0,0.0,0,0.375
L-BHM-1997-3-14,Bahamas,1997,0,"March 14, 1997",1.0,1.0,1.0,,,,0.0,40.0,1.0,40.0,0.0,0.0,0.0,,,1.34,1.34,1,1.0,1.0,0.0,0,0.375
L-BHM-2002-5-2,Bahamas,2002,0,"May 02, 2002",1.0,1.0,1.0,,,,0.0,40.0,1.0,40.0,0.0,0.0,0.0,2.3,2.3142701094505,1.79,1.81114459200432,1,1.0,1.0,0.0,0,0.375
L-BHM-2007-5-2,Bahamas,2007,0,"May 02, 2007",1.0,1.0,1.0,,,,0.0,41.0,1.0,41.0,0.0,0.0,0.0,2.13,2.13218445187007,1.97,1.97,1,1.0,1.0,0.0,0,0.375
L-BHM-2012-5-7,Bahamas,2012,0,"May 07, 2012",1.0,1.0,1.0,,,,0.0,38.0,1.0,38.0,0.0,0.0,0.0,2.418103,2.418103,1.566161,1.566161,1,1.0,1.0,0.0,0,0.375
L-BHM-2017-5-10,Bahamas,2017,0,"May 10, 2017",1.0,1.0,1.0,,,,0.0,39.0,1.0,39.0,0.0,0.0,0.0,2.18381617508965,2.1861268390792,1.22562449637389,1.22562449637389,1,,1.0,0.0,0,0.375
L-BHU-2008-3-22,Bhutan,2008,0,"March 22, 2008",1.0,1.0,1.0,,,,0.0,47.0,1.0,47.0,0.0,0.0,0.0,1.79,1.79,1.14,1.14,1,0.0,0.0,0.0,0,0.375
L-BHU-2013-5-31,Bhutan,2013,0,"May 31, 2013",1.0,1.0,1.0,,,,0.0,47.0,1.0,47.0,0.0,0.0,0.0,2.971412,2.971412,1.768615,1.768615,1,0.0,0.0,0.0,1,0.375
L-BHU-2018-9-15,Bhutan,2018,0,"September 15, 2018",1.0,1.0,1.0,,,,0.0,47.0,1.0,47.0,0.0,0.0,0.0,3.5470803981243,3.5470803981243,1.8578637510513,1.8578637510513,1,,0.0,1.0,1,0.375
L-BLZ-1984-12-14,Belize,1984,0,"December 14, 1984",1.0,1.0,1.0,,,,0.0,28.0,1.0,28.0,0.0,0.0,0.0,2.06,2.06,1.6,1.6,1,1.0,1.0,0.0,0,0.375
L-BLZ-1989-9-4,Belize,1989,0,"September 04, 1989",1.0,1.0,1.0,,,,0.0,28.0,1.0,28.0,0.0,0.0,0.0,2.07,2.07,1.99,1.99,1,1.0,1.0,0.0,0,0.375
L-BLZ-1993-6-30,Belize,1993,0,"June 30, 1993",1.0,1.0,1.0,,,,0.0,29.0,1.0,29.0,0.0,0.0,0.0,2.03,2.03,1.98,1.98,1,1.0,1.0,0.0,0,0.375
L-BLZ-1998-8-27,Belize,1998,0,"August 27, 1998",1.0,1.0,1.0,,,,0.0,29.0,1.0,29.0,0.0,0.0,0.0,1.98,1.98,1.23,1.23,1,1.0,1.0,0.0,0,0.375
L-BLZ-2003-3-5,Belize,2003,0,"March 05, 2003",1.0,1.0,1.0,,,,0.0,29.0,1.0,29.0,0.0,0.0,0.0,2.04,2.0402997232467,1.58,1.58,1,1.0,1.0,0.0,0,0.375
L-BLZ-2008-2-7,Belize,2008,0,"February 07, 2008",1.0,1.0,1.0,,,,0.0,31.0,1.0,31.0,0.0,0.0,0.0,2.03,2.03082484977802,1.45,1.45,1,1.0,1.0,0.0,0,0.375
L-BLZ-2012-3-7,Belize,2012,0,"March 07, 2012",1.0,1.0,1.0,,,,0.0,31.0,1.0,31.0,0.0,0.0,0.0,2.084554,2.084554,1.981443,1.981443,1,1.0,1.0,0.0,0,0.375
L-BLZ-2015-11-4,Belize,2015,0,"November 04, 2015",1.0,1.0,1.0,,,,0.0,31.0,1.0,31.0,0.0,0.0,0.0,2.055541,2.055541,1.90297,1.90297,1,1.0,1.0,0.0,0,0.375
L-BLZ-2020-11-11,Belize,2020,0,"November 11, 2020",1.0,1.0,1.0,,,,0.0,31.0,1.0,31.0,0.0,0.0,0.0,1.97622209574401,1.97722239797532,1.37089871611983,1.37089871611983,1,,1.0,,0,0.375
L-BNG-1991-2-27,Bangladesh,1991,0,"February 27, 1991",1.0,1.0,1.0,,,,0.0,300.0,1.0,300.0,0.0,0.0,0.0,4.61,4.65,3.11,3.11,1,1.0,1.0,1.0,0,0.375
L-BNG-1996-2-15,Bangladesh,1996,0,"February 15, 1996",1.0,1.0,1.0,,,,0.0,300.0,1.0,300.0,0.0,0.0,0.0,3.48,3.48,2.51,2.51,1,1.0,0.0,1.0,1,0.375
L-BNG-1996-6-12,Bangladesh,1996,0,"June 12, 1996",1.0,1.0,1.0,,,,0.0,300.0,1.0,300.0,0.0,0.0,0.0,-99.0,-99.0,1.16,,1,1.0,0.0,1.0,1,0.375
L-BNG-2001-10-1,Bangladesh,2001,0,"October 01, 2001",1.0,1.0,1.0,,,,0.0,300.0,1.0,300.0,0.0,0.0,0.0,2.83,2.84559166160348,2.06,2.06151104907456,1,1.0,0.0,1.0,1,0.375
L-BOL-1979-7-1,Bolivia,1979,0,"July 01, 1979",2.0,9.0,13.0,,,,0.0,117.0,13.0,9.0,0.0,0.0,0.0,3.5,3.5,3.3,3.3,1,1.0,0.0,0.0,0,0.05357142857142857
L-BOL-1980-6-29,Bolivia,1980,0,"June 29, 1980",2.0,9.0,13.0,,,,0.0,130.0,14.44,9.0,0.0,0.0,0.0,4.35,4.35,4.13,4.13,1,0.0,0.0,0.0,0,0.048575129533678756
L-BOL-1985-7-14,Bolivia,1985,0,"July 14, 1985",2.0,9.0,13.0,,,,0.0,130.0,14.44,9.0,0.0,0.0,0.0,4.53,4.585,4.31,4.31,1,1.0,1.0,1.0,0,0.048575129533678756
L-BOL-2005-12-18,Bolivia,2005,0,"December 18, 2005",3.0,11.0,1.0,25.0,1.0,,1.0,130.0,1.0,70.0,9.0,7.0,0.0,2.62,2.62,2.36,2.36,1,1.0,0.0,1.0,1,0.375
L-BOL-2009-12-6,Bolivia,2009,0,"December 06, 2009",3.0,11.0,1.0,25.0,1.0,,1.0,130.0,1.0,70.0,9.0,7.0,0.0,2.06,2.06,1.85,1.85,1,1.0,0.0,1.0,1,0.375
L-BOL-2014-10-12,Bolivia,2014,0,"October 12, 2014",3.0,11.0,1.0,25.0,1.0,,1.0,130.0,1.0,70.0,9.0,7.0,0.0,2.238603,2.238603,1.905728,1.905728,1,1.0,0.0,1.0,1,0.375
L-BOL-2019-10-20,Bolivia ,2019,0,"October 20, 2019",3.0,11.0,1.0,25.0,1.0,,1.0,130.0,1.0,70.0,9.0,7.0,0.0,2.74171373229545,2.74171373229545,2.3849844764324,2.3849844764324,1,,0.0,,1,0.375
L-BOL-2020-10-18,Bolivia ,2020,0,"October 18, 2020",3.0,11.0,1.0,25.0,1.0,,1.0,130.0,1.0,70.0,9.0,7.0,0.0,2.46047250914066,2.46047250914066,2.32590145884944,2.32590145884944,1,,0.0,,0,0.375
L-BOS-1996-9-14,Bosnia,1996,0,"September 14, 1996",2.0,9.0,13.0,,,,0.0,42.0,5.25,2.0,,,,5.48059321941007,5.48059321941007,4.18009478672986,4.18009478672986,0,1.0,0.0,0.0,0,0.12
L-BOS-1998-9-12,Bosnia,1998,0,"September 12, 1998",2.0,9.0,13.0,,,,0.0,42.0,21.0,2.0,,,,8.025,8.025,5.88,5.88,0,1.0,0.0,0.0,1,0.03409090909090909
L-BOS-2000-11-11,Bosnia,2000,0,"November 11, 2000",2.0,9.0,13.0,,,,0.0,42.0,5.25,8.0,,,,7.77218180687683,7.77218180687683,7.28925619834711,7.28925619834711,0,1.0,0.0,0.0,1,0.12
L-BOS-2002-10-5,Bosnia,2002,0,"October 05, 2002",2.0,9.0,26.0,26.0,,,1.0,42.0,5.25,8.0,2.0,,,9.66601303539959,9.7418922378515,9.09278350515464,9.09278350515464,0,1.0,0.0,0.0,1,0.12
L-BOS-2006-10-1,Bosnia,2006,0,"October 01, 2006",2.0,9.0,26.0,26.0,,,1.0,42.0,5.25,8.0,2.0,,,9.31997284159914,9.31997284159914,7.17073170731707,7.17073170731707,0,1.0,0.0,0.0,1,0.12
L-BOS-2010-10-3,Bosnia,2010,0,"October 03, 2010",2.0,9.0,26.0,26.0,,,1.0,42.0,5.25,8.0,2.0,,,10.72682383895,10.72682383895,7.66956521739131,7.66956521739131,0,1.0,0.0,0.0,1,0.12
L-BOS-2014-10-12,Bosnia,2014,0,"October 12, 2014",2.0,9.0,26.0,26.0,,,1.0,42.0,5.25,8.0,2.0,,,8.8131350965479,9.49063748611994,7.94594594594595,7.94594594594595,0,1.0,0.0,0.0,1,0.12
L-BOS-2018-10-7,Bosnia,2018,0,"October 07, 2018",2.0,9.0,26.0,26.0,,,1.0,42.0,5.25,8.0,2.0,,,10.6768458291222,10.6768458291222,8.73267326732673,8.73267326732673,0,,0.0,0.0,1,0.12
L-BOT-1969-10-18,Botswana,1969,0,"October 18, 1969",1.0,1.0,1.0,,,,0.0,31.0,1.0,31.0,,,,1.99112741676326,1.99112741676326,1.61512605042017,1.61512605042017,0,1.0,,1.0,1,0.375
L-BOT-1974-10-26,Botswana,1974,0,"October 26, 1974",1.0,1.0,1.0,,,,0.0,32.0,1.0,32.0,,,,1.64767433650832,1.64774221007214,1.38753387533875,1.38753387533875,0,1.0,1.0,1.0,1,0.375
L-BOT-1979-10-20,Botswana,1979,0,"October 20, 1979",1.0,1.0,1.0,,,,0.0,32.0,1.0,32.0,,,,1.69711474370979,1.69712744548004,1.21040189125296,1.21040189125296,0,1.0,1.0,1.0,1,0.375
L-BOT-1984-9-8,Botswana,1984,0,"September 08, 1984",1.0,1.0,1.0,,,,0.0,34.0,1.0,34.0,,,,1.96186949683344,1.96195094361404,1.34731934731935,1.34731934731935,0,1.0,1.0,1.0,1,0.375
L-BOT-1989-10-7,Botswana,1989,0,"October 07, 1989",1.0,1.0,1.0,,,,0.0,34.0,1.0,34.0,,,,2.02066220050477,2.02066220050477,1.19175257731959,1.19175257731959,0,1.0,1.0,1.0,1,0.375
L-BOT-1994-10-15,Botswana,1994,0,"October 15, 1994",1.0,1.0,1.0,,,,0.0,40.0,1.0,40.0,,,,2.28090015268346,2.28090015268346,1.78173719376392,1.78173719376392,0,1.0,1.0,1.0,1,0.375
L-BOT-1999-10-16,Botswana,1999,0,"October 16, 1999",1.0,1.0,1.0,,,,0.0,40.0,1.0,40.0,,,,2.69788297123247,2.69794847997583,1.42095914742451,1.42095914742451,0,1.0,1.0,1.0,1,0.375
L-BOT-2004-10-30,Botswana,2004,0,"October 30, 2004",1.0,1.0,1.0,,,,0.0,57.0,1.0,57.0,,,,2.7444895589737,2.74449023687393,1.56126862085536,1.56126862085536,0,1.0,1.0,1.0,1,0.375
L-BOT-2009-10-16,Botswana,2009,0,"October 16, 2009",1.0,1.0,1.0,,,,0.0,57.0,1.0,57.0,,,,2.70600278279914,2.70870482655716,1.50914340712223,1.50914340712223,0,1.0,1.0,1.0,1,0.375
L-BOT-2014-10-24,Botswana,2014,0,"October 24, 2014",1.0,1.0,1.0,,,,0.0,57.0,1.0,57.0,,,,2.86846205427721,2.87644247117934,1.94901019796041,1.94901019796041,0,1.0,1.0,1.0,1,0.375
L-BOT-2019-10-23,Botswana,2019,0,"October 23, 2019",1.0,1.0,1.0,,,,0.0,57.0,1.0,57.0,,,,2.43669467241077,2.43841181361755,1.93508040500298,1.93508040500298,0,,1.0,,1,0.375
L-BRA-1947-1-19,Brazil,1947,0,"January 19, 1947",2.0,9.0,12.0,,,,0.0,286.0,13.0,22.0,0.0,0.0,0.0,3.59,3.59,2.65,-99.0,1,1.0,,0.0,0,0.05357142857142857
L-BRA-1950-10-3,Brazil,1950,0,"October 03, 1950",2.0,9.0,14.0,,,,0.0,304.0,12.16,25.0,0.0,0.0,0.0,7.11,7.11,4.11,4.11,1,1.0,,0.0,0,0.056990881458966566
L-BRA-1954-10-3,Brazil,1954,0,"October 03, 1954",2.0,9.0,14.0,,,,0.0,326.0,13.04,25.0,0.0,0.0,0.0,8.69,8.69,4.59,4.59,1,1.0,,0.0,0,0.05341880341880342
L-BRA-1958-10-3,Brazil,1958,0,"October 03, 1958",2.0,9.0,14.0,,,,0.0,326.0,13.04,25.0,0.0,0.0,0.0,9.82,9.82,3.64,4.49,1,1.0,,1.0,0,0.05341880341880342
L-BRA-1962-10-7,Brazil,1962,0,"October 07, 1962",2.0,9.0,14.0,,,,0.0,409.0,16.36,25.0,0.0,0.0,0.0,11.17,11.17,4.05,4.56,1,1.0,,0.0,0,0.043202764976958526
L-BRA-1982-11-15,Brazil,1982,0,"November 15, 1982",2.0,9.0,14.0,,,,0.0,479.0,19.16,25.0,0.0,0.0,0.0,2.65,2.65,2.39,2.39,1,0.0,0.0,0.0,0,0.03720238095238095
L-BRA-1986-11-15,Brazil,1986,0,"November 15, 1986",2.0,9.0,14.0,,,,0.0,487.0,18.73,26.0,0.0,0.0,0.0,3.55,3.555,2.83,2.83,1,1.0,1.0,1.0,0,0.03801317790167258
L-BRA-1994-10-3,Brazil,1994,0,"October 03, 1994",2.0,9.0,14.0,,,,0.0,513.0,19.0,27.0,0.0,0.0,0.0,8.53,8.53,8.16,8.16,1,1.0,0.0,1.0,1,0.0375
L-BRA-1998-10-4,Brazil,1998,0,"October 04, 1998",2.0,9.0,14.0,,,,0.0,513.0,19.0,27.0,0.0,0.0,0.0,8.14,8.14,7.11,7.11,1,1.0,0.0,1.0,1,0.0375
L-BUI-1993-6-29,Burundi,1993,0,"June 29, 1993",2.0,9.0,25.0,,,,0.0,81.0,5.4,15.0,0.0,0.0,0.0,1.74,1.74242884189584,1.46,1.46,1,0.0,0.0,0.0,0,0.1171875
L-BUI-2005-7-4,Burundi ,2005,0,"July 04, 2005",2.0,9.0,25.0,,,,0.0,100.0,5.88,17.0,,,,2.5024627361402,2.51526552375349,2.52337340202251,2.52337340202251,1,1.0,0.0,1.0,0,0.10901162790697674
L-BUI-2010-7-23,Burundi ,2010,0,"July 23, 2010",2.0,9.0,25.0,,,,0.0,100.0,5.88,17.0,,,,1.48176376296634,1.48176376296634,1.49880095923261,1.49880095923261,1,1.0,0.0,1.0,0,0.10901162790697674
L-BUI-2015-7-21,Burundi ,2015,0,"July 21, 2015",2.0,9.0,25.0,,,,0.0,100.0,5.88,17.0,,,,2.60754833090831,2.6540827755336,1.56887354879197,1.56887354879197,1,1.0,0.0,0.0,0,0.10901162790697674
L-BUI-2020-5-20,Burundi ,2020,0,"May 20, 2020",2.0,9.0,25.0,,,,0.0,100.0,5.56,18.0,,,,1.78749584451904,1.78776632220819,1.69090294217112,1.69090294217112,1,,0.0,,0,0.11432926829268293
L-CEN-1993-8-22,Central African Republic,1993,0,"August 22, 1993",1.0,2.0,4.0,,,,0.0,85.0,1.0,85.0,0.0,0.0,0.0,-99.0,-99.0,4.74,4.76,1,1.0,0.0,0.0,0,0.375
L-CEN-1998-11-22,Central African Republic,1998,0,"November 22, 1998",1.0,2.0,4.0,,,,0.0,109.0,1.0,109.0,0.0,0.0,0.0,4.19,4.25,4.18,4.25,1,1.0,0.0,0.0,0,0.375
L-CHL-1949-3-6,Chile,1949,0,"March 06, 1949",2.0,9.0,25.0,,,,0.0,147.0,5.25,28.0,0.0,0.0,0.0,7.05,7.05,6.04,6.05,1,1.0,,0.0,0,0.12
